Company,Location,Date,Level,NameTag,Years of Experience,At Company,Total Compensation (SGD),Base,Stock (yr),Bonus
Shopee Singapore, SG, Singapore,15/12/2022,Senior Software Engineer,Machine learning(in search),6 yrs 3 yrs,113.400 S$97,2 mil,N/A,16,2 mil
Delivery Hero Singapore, SG, Singapore,15/12/2022,IC3,Product,7 yrs 3 yrs,176.000 S$143 mil,22 mil,11 mil
Certis Singapore, SG, Singapore,14/12/2022,-,Data,3 yrs 1 yr,72.000 S$72 mil,N/A,N/A
Tower Research Ca... Singapore, SG, Singapore,13/12/2022,Entry,Quant,0 yrs 0 yrs,287.500 S$175 mil,N/A,112,5 mil
Grab Singapore, SG, Singapore,12/12/2022,G3,2 yrs 2 yrs,133.294 S$133,3 mil,N/A,N/A
Una Brands Singapore, SG, Singapore,09/12/2022,Business Intelligence,1 yr 1 yr,79.798 S$60 mil,19,8 mil,N/A
ByteDance Singapore, SG, Singapore,06/12/2022,1-2,hidden,3 yrs 1 yr,102.200 S$82,2 mil,N/A,20 mil
Genome Institute ... Singapore, SG, Singapore,02/12/2022,L2,Research,0 yrs 0 yrs,101.200 S$74,4 mil,N/A,12,4 mil
Lotusflare Singapore, SG, Singapore,01/12/2022,-,Growth,5 yrs 5 yrs,135.000 S$120 mil,N/A,15 mil
Gojek Tech Singapore, SG, Singapore,30/11/2022,L3,-,3 yrs 2 yrs,98.400 S$98,4 mil,N/A,N/A
Shopee Singapore, SG, Singapore,27/11/2022,hidden,hidden,5-10 yrs 2-4 yrs,184.000 S$144 mil,40 mil,N/A
Binance Singapore, SG, Singapore,26/11/2022,L2,Customer Analytics,6 yrs 1 yr,140.000 S$120 mil,N/A,20 mil
Micron Technology Singapore, SG, Singapore,25/11/2022,E4,Testing,7 yrs 7 yrs,126.000 S$110 mil,N/A,16 mil
Visa Singapore, SG, Singapore,24/11/2022,L2,Data Scientist,1 yr 1 yr,105.000 S$105 mil,N/A,N/A
Pluang Singapore, SG, Singapore,17/11/2022,Junior,Marketing/Growth,2 yrs 2 yrs,85.500 S$68,4 mil,N/A,17,1 mil
National Universi... Singapore, SG, Singapore,16/11/2022,-,Research,0 yrs 0 yrs,75.000 S$72 mil,N/A,3 mil
Grab Singapore, SG, Singapore,16/11/2022,G3,2 yrs 2 yrs,128.400 S$98,4 mil,15 mil,15 mil
DBS Singapore, SG, Singapore,07/11/2022,hidden,hidden,5-10 yrs 0-1 yrs,114.400 S$98,4 mil,N/A,16 mil
Goldman Sachs Singapore, SG, Singapore,04/11/2022,Analyst,Data,2 yrs 1 yr,91.176 S$84,2 mil,N/A,7 mil
Sabre Singapore, SG, Singapore,03/11/2022,L4,Data,7 yrs 6 yrs,144.001 S$144 mil,N/A,N/A
Data Scientist Singapore, SG, Singapore,01/11/2022,hidden,hidden,2-4 yrs 2-4 yrs,113.173 S$113,2 mil,N/A,N/A
JPMorgan Chase Singapore, SG, Singapore,01/11/2022,Vice President,vice president,10 yrs 2 yrs,202.001 S$160 mil,N/A,42 mil
Grab Singapore, SG, Singapore,01/11/2022,G5,AI/ML,3 yrs 0 yrs,275.001 S$175 mil,65 mil,35 mil
Standard Chartered Singapore, SG, Singapore,01/11/2022,6,Data,3 yrs 0 yrs,150.001 S$150 mil,N/A,N/A
Visa Singapore, SG, Singapore,31/10/2022,Staff Data Scientist,Tag,7 yrs 4 yrs,227.189 S$227,2 mil,N/A,N/A
Google Singapore, SG, Singapore,30/10/2022,L3,Algorithm,3 yrs 1 yr,116.800 S$106,8 mil,N/A,10 mil
Google Singapore, SG, Singapore,26/10/2022,L3,Machine Learning,3 yrs 1 yr,150.001 S$150 mil,N/A,N/A
Data Scientist Singapore, SG, Singapore,20/10/2022,hidden,hidden,4 yrs 3 yrs,85.000 S$70 mil,N/A,15 mil
Grab Singapore, SG, Singapore,20/10/2022,G4,Product,5 yrs 4 yrs,125.800 S$100,8 mil,15 mil,10 mil
ByteDance Singapore, SG, Singapore,16/10/2022,2-2,Machine Learning,5 yrs 1 yr,191.000 S$133 mil,25 mil,33 mil
DBS Bank Singapore, SG, Singapore,16/10/2022,VP,-4 yrs 1 yr,186.001 S$160 mil,N/A,26 mil
ByteDance Singapore, SG, Singapore,15/10/2022,2-2,Data,8 yrs 1 yr,198.580 S$178,7 mil,19,9 mil,N/A
Grab Singapore, SG, Singapore,14/10/2022,G5,hidden,8 yrs 2 yrs,188.001 S$158 mil,30 mil,N/A
Micron Technology Singapore, SG, Singapore,13/10/2022,E1SMAI,5 yrs 1 yr,91.337 S$72 mil,14,3 mil,5 mil
Micron Technology Singapore, SG, Singapore,13/10/2022,E1SMAI,5 yrs 1 yr,81.083 S$71,5 mil,3,6 mil,6 mil
Grab Singapore, SG, Singapore,13/10/2022,G3,financial products,3 yrs 1 yr,116.407 S$92,1 mil,11,4 mil,12,9 mil
DBS Bank,Singapore,SG,13/10/2022,L2,-4 yrs,4 yrs,100.500 S$80.4 mil,N/A,20.1 mil
Tencent Holdings,Singapore,SG,12/10/2022,9,Data,7 yrs,1 yr,9.500 S$9.5 mil,N/A,N/A
Gojek Tech,Singapore,SG,11/10/2022,L4,Data,5 yrs,1 yr,214.001 S$164 mil,24 mil,26 mil
Anglo American,Singapore,SG,10/10/2022,-,General,10 yrs,1 yr,220.001 S$160 mil,30 mil,30 mil
Grab,Singapore,SG,08/10/2022,G3,Product,2 yrs,1 yr,114.000 S$84 mil,20 mil,10 mil
National University,Singapore,SG,08/10/2022,-,AI,5 yrs,2 yrs,103.169 S$103.2 mil,N/A,N/A
ByteDance,Singapore,SG,07/10/2022,1-2,-,6 yrs,1 yr,116.000 S$84 mil,N/A,32 mil
SHEIN,Singapore,SG,06/10/2022,L4,Algorithm,5 yrs,1 yr,165.000 S$140 mil,N/A,25 mil
Credit Suisse,Singapore,SG,04/10/2022,L3,ML,8 yrs,1 yr,135.000 S$120 mil,N/A,15 mil
Visa,Singapore,SG,03/10/2022,Staff Data Scientist,Data Science,10 yrs,5 yrs,286.135 S$286.1 mil,N/A,N/A
Shopee,Singapore,SG,01/10/2022,L1,NLP,1 yr,1 yr,80.400 S$80.4 mil,N/A,N/A
SUTD,Singapore,SG,30/09/2022,-,RA / ML,1 yr,1 yr,48.000 S$48 mil,N/A,N/A
Shopee,Singapore,SG,30/09/2022,hidden,hidden,0-1 yrs,0-1 yrs,96.012 S$78 mil,5 mil,13 mil
National University,Singapore,SG,30/09/2022,-,ML / AI,3 yrs,0 yrs,100.000 S$100 mil,N/A,N/A
Shopee,Singapore,SG,30/09/2022,Associate,Data Analyst,2 yrs,2 yrs,61.000 S$58.8 mil,N/A,2.2 mil
Grab,Singapore,SG,30/09/2022,G4,Strategy,3 yrs,0 yrs,126.440 S$105.6 mil,5 mil,15.8 mil
Shopee,Singapore,SG,30/09/2022,L3,hidden,5-10 yrs,0-1 yrs,130.200 S$100.2 mil,30 mil,N/A
Shopee,Singapore,SG,30/09/2022,hidden,hidden,5-10 yrs,0-1 yrs,135.600 S$96 mil,38 mil,1.6 mil
GovTech,Singapore,SG,30/09/2022,L3,Data Scientist,6 yrs,0 yrs,159.766 S$159.8 mil,N/A,N/A
Facebook,Singapore,SG,28/09/2022,IC4,Product,6 yrs,4 yrs,200.000 S$150 mil,50 mil,N/A
Data Scientist,Singapore,SG,22/09/2022,hidden,hidden,5-10 yrs,2-4 yrs,150.000 S$120 mil,N/A,30 mil
Tencent,Singapore,SG,21/09/2022,T6,Data Scientist,1 yr,1 yr,14.505 S$14.5 mil,N/A,N/A
Facebook,Singapore,SG,20/09/2022,IC4,Other,6 yrs,3 yrs,170.000 S$170 mil,N/A,N/A
Salesforce,Singapore,SG,19/09/2022,Data Scientist,AI,1 yr,1 yr,239.999 S$180 mil,60 mil,N/A
Grab,Singapore,SG,15/09/2022,G4,-,7 yrs,0 yrs,112.666 S$91.2 mil,7.8 mil,13.7 mil
ByteDance,Singapore,SG,15/09/2022,2-2,-,6 yrs,0 yrs,278.415 S$211.5 mil,17.6 mil,49.3 mil
GovTech,Singapore,SG,14/09/2022,hidden,hidden,2-4 yrs,2-4 yrs,114.125 S$97.8 mil,N/A,16.3 mil
Data Scientist,Singapore,SG,14/09/2022,--,5 yrs,1 yr,144.001 S$144 mil,N/A,N/A
Grab,Singapore,SG,12/09/2022,G3,AI/ML,3 yrs,1 yr,106.600 S$84 mil,10 mil,12.6 mil
Shopee,Singapore,SG,12/09/2022,hidden,-,2-4 yrs,2-4 yrs,91.000 S$79 mil,6 mil,6 mil
ARTC,Singapore,SG,12/09/2022,RSE,2,Researcher,7 yrs,2 yrs,117.600 S$93.6 mil,N/A,24 mil
Shopee,Singapore,SG,08/09/2022,10,-,2 yrs,2 yrs,100.500 S$81 mil,6 mil,13.5 mil
Shopee,Singapore,SG,04/09/2022,Senior,-,4 yrs,2 yrs,132.000 S$102 mil,30 mil,N/A
Holmusk,Singapore,SG,31/08/2022,-,Data Science,1 yr,1 yr,84.000 S$84 mil,N/A,N/A
Grab,Singapore,SG,24/08/2022,G4,Analytics,6 yrs,1 yr,130.200 S$108 mil,6 mil,16.2 mil
Data Scientist,Singapore,SG,23/08/2022,--,3 yrs,1 yr,96.240 S$84.2 mil,N/A,12 mil
Lazada,Singapore,SG,14/08/2022,L4,2,-,7 yrs,1 yr,170.000 S$140 mil,N/A,30 mil
DBS,Singapore,SG,12/08/2022,--,2 yrs,2 yrs,97.500 S$90 mil,N/A,7.5 mil
Shopee,Singapore,SG,31/07/2022,L10,Technical,1 yr,0 yrs,81.006 S$81 mil,N/A,N/A
Shopee,Singapore,SG,28/07/2022,Expert,-,8 yrs,1 yr,219.001 S$144 mil,45 mil,30 mil
Shopee,Singapore,SG,24/07/2022,Assistant Manager,Marketing Analytics,10 yrs,1 yr,135.000 S$115 mil,N/A,20 mil
AITIS,Singapore,SG,17/07/2022,--,2 yrs,1 yr,69.600 S$69.6 mil,N/A,N/A
Data Scientist,Singapore,SG,15/07/2022,--,2 yrs,2 yrs,158.000 S$108 mil,N/A,50 mil
YITUS,Singapore,SG,13/07/2022,--,1 yr,1 yr,140.707 S$140.7 mil,N/A,N/A
DBS,Singapore,SG,07/07/2022,--,3 yrs,1 yr,100.000 S$100 mil,N/A,N/A
Grab,Singapore,SG,30/06/2022,G4,-,5 yrs,1 yr,99.600 S$99.6 mil,N/A,N/A
Data Scientist,Singapore,SG,21/06/2022,hidden,-,0-1 yrs,0-1 yrs,85.000 S$75 mil,N/A,10 mil
SHEIN,Singapore,SG,05/06/2022,Senior,-3 yrs,1 yr,140,000 S$120 mil,N/A,20 mil
Disney,Singapore,SG,03/06/2022,M3,-10 yrs,1 yr,254,913 S$254.9 mil,N/A,N/A
LotusFlare,Singapore,SG,01/06/2022,L4,-5 yrs,5 yrs,132,000 S$120 mil,N/A,12 mil
Envision Digital,Singapore,SG,31/05/2022,L6,-7 yrs,2 yrs,64,200 S$64.2 mil,N/A,N/A
QuantumBlack,Singapore,SG,18/05/2022,Consultant (Senior BA eq.),-4 yrs,3 yrs,135,000 S$120 mil,N/A,15 mil
Shopee,Singapore,SG,15/05/2022,Engineer,-2 yrs,1 yr,92,700 S$76.8 mil,3.1 mil,12.8 mil
Indeed,Singapore,SG,11/04/2022,L2,AI / ML,3 yrs,0 yrs,239,247 S$160 mil,49.5 mil,29.7 mil
Grab,Singapore,SG,08/04/2022,G5,AI/ML,3 yrs,0 yrs,224,691 S$156 mil,37.5 mil,31.2 mil
McKinsey,Singapore,SG,02/04/2022,-,2-3 yrs,3 yrs,120,000 S$105 mil,N/A,15 mil
Shopee,Singapore,SG,31/03/2022,Senior,Recommendation,3 yrs,3 yrs,130,000 S$105 mil,25 mil,N/A
National University,Singapore,SG,31/03/2022,4focus,1 yr,1 yr,90,000 S$90 mil,N/A,N/A
Agency for Science,Singapore,SG,31/03/2022,--,1 yr,1 yr,68,400 S$68.4 mil,N/A,N/A
Grab,Singapore,SG,21/03/2022,G5,-5 yrs,3 yrs,235,007 S$150 mil,55 mil,30 mil
Grab,Singapore,SG,17/03/2022,G4,-5 yrs,1 yr,113,999 S$104 mil,N/A,10 mil
Take-Two Interactive,Singapore,SG,01/03/2022,L3,Product,6 yrs,0 yrs,95,994 S$96 mil,N/A,N/A
Nanyang Technological University,Singapore,SG,28/02/2022,-,Research,9 yrs,4 yrs,62,400 S$57.6 mil,N/A,4.8 mil
Tiya,Singapore,SG,28/02/2022,Entry,Data,0 yrs,0 yrs,60,000 S$60 mil,N/A,N/A
Grab,Singapore,SG,28/02/2022,G3,-2 yrs,1 yr,74,400 S$74.4 mil,N/A,N/A
Temasek,Singapore,SG,16/02/2022,L3,Data,8 yrs,1 yr,201,477 S$134.3 mil,26.9 mil,40.3 mil
Apple,Singapore,SG,10/02/2022,ICT3,ML / AI,2 yrs,2 yrs,157,427 S$103.6 mil,40.4 mil,13.5 mil
Shopee,Singapore,SG,07/02/2022,Senior,ML,3 yrs,3 yrs,135,697 S$99.4 mil,20.2 mil,16.1 mil
ByteDance,Singapore,SG,01/02/2022,2-1,ML / AI,3 yrs,0 yrs,145,525 S$108 mil,20.3 mil,17.3 mil
Grab,Singapore,SG,21/01/2022,G5,ML,3 yrs,0 yrs,254,168 S$161.4 mil,60.5 mil,32.3 mil
Grab,Singapore,SG,21/01/2022,G3,Data Scientist,4 yrs,2 yrs,134,481 S$94.1 mil,20.2 mil,20.2 mil
Shopee,Singapore,SG,16/01/2022,Senior,Machine Learning,3 yrs,3 yrs,136,192 S$93 mil,27 mil,16.2 mil
Grab,Singapore,SG,11/01/2022,G5,Analytics,4 yrs,4 yrs,136,413 S$132.4 mil,4.1 mil,N/A
Dyson,Singapore,SG,02/01/2022,L2,General,5 yrs,1 yr,117,314 S$103.8 mil,N/A,13.5 mil
Grab,Singapore,SG,31/12/2021,G3,Data,1 yr,0 yrs,78,000 S$78 mil,N/A,N/A
QuantumBlack,Singapore,SG,07/12/2021,Jnr Associate,General,1 yr,1 yr,95,563 S$81.9 mil,N/A,13.7 mil
Revolut,Singapore,SG,23/11/2021,L2,General,2 yrs,2 yrs,136,482 S$136.5 mil,N/A,N/A
Grab,Singapore,SG,22/11/2021,G5,Analytics,6 yrs,4 yrs,144,671 S$121.5 mil,5.5 mil,17.7 mil
Temasek,Singapore,SG,15/11/2021,Senior manager,/ 09-6 yrs,0 yrs,131,329 S$113.7 mil,N/A,17.6 mil
MediaTek,Singapore,SG,10/11/2021,L1,AI Engineer,0 yrs,0 yrs,48,505 S$48.5 mil,N/A,N/A
Traveloka,Singapore,SG,03/11/2021,T3,General,4 yrs,0 yrs,121,375 S$80.9 mil,27 mil,13.5 mil
Experian,Singapore,SG,02/11/2021,L3,Credit Risk Modeling,8 yrs,2 yrs,111,936 S$107.9 mil,N/A,4 mil
ByteDance,Singapore,SG,02/11/2021,1-2,Trust and Safety,6 yrs,1 yr,107,890 S$85 mil,N/A,22.9 mil
Shopee,Singapore,SG,01/11/2021,Junior,Search,1 yr,1 yr,124,039 S$87.6 mil,22.9 mil,13.5 mil
Shopee,Singapore,SG,01/11/2021,--,2-4 yrs,0-1 yrs,66,000 S$66 mil,N/A,N/A
NCS,Singapore,SG,31/10/2021,OST,6,ETL,1 yr,0 yrs,43,000 S$43 mil,N/A,N/A
Amazon,Singapore,SG,31/10/2021,DS III,General,15 yrs,3 yrs,265,822 S$199.7 mil,47.2 mil,18.9 mil
ByteDance,Singapore,SG,04/10/2021,2-1,Product,6 yrs,1 yr,160,152 S$108.6 mil,24.4 mil,27.1 mil
Amazon,Singapore,SG,02/10/2021,DS III,Professional Services,15 yrs,2 yrs,502,512 S$271.6 mil,230.9 mil,N/A
Grab,Singapore,SG,02/10/2021,G3,General,1 yr,0 yrs,92,353 S$72 mil,6.8 mil,13.6 mil
Uber,Raffles Park,SG,03/09/2021,L5,Operations,10 yrs,4 yrs,256,203 S$148.9 mil,53.7 mil,53.7 mil
Apple,Woodlands,SG,26/08/2021,ICT4,General,11 yrs,1 yr,185,485 S$144.9 mil,40.6 mil,N/A
Grab,Raffles Park,SG,19/08/2021,G4,General,3 yrs,0 yrs,127,961 S$108.9 mil,N/A,19.1 mil
Temasek,Pasir Ris,SG,12/08/2021,L9,-6 yrs,0 yrs,128,988 S$114.1 mil,N/A,14.9 mil
Grab,Woodlands,SG,11/08/2021,G5,Analytics,8 yrs,1 yr,189,959 S$135.7 mil,27.1 mil,27.1 mil
Grab,Singapore,SG,Singapore,16/07/2021,G5,Data,6 yrs,1 yr,135,428,S$108,3 mil,13,5 mil,13,5 mil
Grab,Singapore,SG,Singapore,30/06/2021,G4,Product,3 yrs,3 yrs,126,200,S$94,2 mil,10 mil,22 mil
Shopee,Singapore,SG,Singapore,27/06/2021,L3,General,1 yr,1 yr,126,209,S$91,3 mil,18,8 mil,16,1 mil
Shopee,Singapore,SG,Singapore,13/06/2021,Senior,General,4 yrs,2 yrs,160,413,S$82,2 mil,67,6 mil,10,6 mil
Gojek Tech,Singapore,SG,Singapore,31/05/2021,L3,Other,2 yrs,2 yrs,96,000,S$96 mil,N/A,N/A
Indeed,Singapore,SG,Singapore,31/05/2021,L1,General,3 yrs,0 yrs,140,250,S$115 mil,13,3 mil,12 mil
Facebook,Singapore,SG,Singapore,30/05/2021,IC4,Legal,3 yrs,0 yrs,133,652,S$113,8 mil,7,9 mil,11,9 mil
Shopee,Singapore,SG,Singapore,09/05/2021,Senior Expert,Recommendation,7 yrs,7 yrs,317,922,S$238,4 mil,39,7 mil,39,7 mil
BioMind,Singapore,SG,Singapore,30/04/2021,L3,Other,2 yrs,2 yrs,72,000,S$72 mil,N/A,N/A
Tencent,Singapore,SG,Singapore,30/04/2021,hidden,hidden,0-1 yrs,0-1 yrs,78,000,S$78 mil,N/A,N/A
Grab,Singapore,SG,Singapore,16/04/2021,G4,General,4 yrs,2 yrs,160,127,S$108,1 mil,14,7 mil,37,4 mil
Gojek Tech,Singapore,SG,Singapore,31/03/2021,L2,Data Scientist,1 yr,1 yr,130,000,S$120 mil,N/A,10 mil
Gojek Tech,Singapore,SG,Singapore,31/03/2021,L2,Data Scientist,1 yr,1 yr,130,000,S$120 mil,N/A,10 mil
Gojek Tech,Singapore,SG,Singapore,31/03/2021,L2,General,2 yrs,1 yr,135,000,S$120 mil,N/A,15 mil
Agoda,Singapore,SG,Singapore,23/03/2021,Senior,General,5 yrs,0 yrs,145,416,S$121,2 mil,10,8 mil,13,5 mil
Facebook,Singapore,SG,Singapore,10/03/2021,IC4,Mobile,5 yrs,2 yrs,224,463,S$146,5 mil,45,7 mil,32,3 mil
Grab,Singapore,SG,Singapore,04/02/2021,G4,Machine Learning,4 yrs,2 yrs,132,354,S$100,3 mil,12 mil,20,1 mil
Dyson,Singapore,SG,Singapore,31/01/2021,Data,3 yrs,0 yrs,108,499,S$93 mil,N/A,15,5 mil
ByteDance,Singapore,SG,Singapore,19/01/2021,2-1,ML / AI,0 yrs,0 yrs,110,225,S$90,3 mil,5,3 mil,14,6 mil
Grab,Singapore,SG,Singapore,23/12/2020,G3,Data,0 yrs,0 yrs,94,781,S$73,4 mil,1,3 mil,20 mil
Shopee,Singapore,SG,Singapore,19/11/2020,Senior,ML / AI,1 yr,1 yr,131,862,S$102,3 mil,12,1 mil,17,5 mil
Grab,Singapore,SG,Singapore,05/10/2020,G3,Data,0 yrs,0 yrs,81,588,S$61,2 mil,6,8 mil,13,6 mil
GIC,Singapore,SG,Singapore,19/09/2020,AVP,ML / AI,3 yrs,3 yrs,190,269,S$130,5 mil,N/A,59,8 mil
Grab,Singapore,SG,Singapore,28/08/2020,G5,ML / AI,7 yrs,0 yrs,152,154,S$122,3 mil,17,7 mil,12,2 mil
Grab,Singapore,SG,Singapore,24/08/2020,G6,iOS,10 yrs,0 yrs,301,495,S$216,5 mil,41,1 mil,43,9 mil
Apple,Singapore,SG,Singapore,19/08/2020,ICT,ML / AI,12 yrs,0 yrs,424,657,S$253,4 mil,137 mil,34,2 mil
National University,Singapore,SG,Singapore,31/07/2020,L3,IORA,1 yr,1 yr,74,400,S$74,4 mil,N/A,N/A
Shopee,Singapore,SG,Singapore,23/07/2020,Senior,ML / AI,3 yrs,2 yrs,138,600,S$83,2 mil,44,4 mil,11,1 mil
DBS Bank,Singapore,SG,Singapore,20/07/2020,VP,ML / AI,15 yrs,2 yrs,291,627,S$222,2 mil,N/A,69,4 mil
Grab,Singapore,SG,Singapore,14/07/2020,G3,ML / AI,2 yrs,2 yrs,79,244,S$62,6 mil,7 mil,9,7 mil
Prudential,Singapore,SG,Singapore,01/07/2020,L2,AI,4 yrs,4 yrs,90,000,S$90 mil,N/A,N/A
Lazada,Singapore,SG,Singapore,30/06/2020,P41,Algorithm,4 yrs,0 yrs,105,000,S$90 mil,N/A,15 mil
Prudential Financial,Singapore,SG,Singapore,01/06/2020,L1,N/A,5 yrs,3 yrs,80,000,S$80 mil,N/A,N/A
Shopee,Singapore,SG,Singapore,31/05/2020,Junior,ML / AI,1 yr,1 yr,80,475,S$67,8 mil,1,4 mil,11,3 mil
Shopee,Singapore,SG,Singapore,16/05/2020,Staff,ML / AI,0 yrs,0 yrs,88,609,S$71,5 mil,N/A,17,2 mil
Microsoft,Singapore,SG,Singapore,16/01/2020,Senior,ML / AI,5 yrs,5 yrs,228,926,S$175,1 mil,20,2 mil,33,7 mil
Grab,Singapore,SG,Singapore,12/12/2019,G5,ML / AI,8 yrs,1 yr,216,333,S$135,2 mil,60,8 mil,20,3 mil
Grab,Singapore,SG,Singapore,15/11/2019,G4,ML / AI,3 yrs,0 yrs,127,891,S$100,7 mil,12,2 mil,15 mil
DBS Bank,Singapore,SG,Singapore,30/09/2019,Senior Associate,Data Science,4 yrs,0 yrs,72,000,S$72 mil,N/A,N/A
Facebook,Singapore,SG,Singapore,18/06/2018,IC3,ML / AI,0 yrs,0 yrs,283,746,S$202,7 mil,40,5 mil,40,5 mil
