Company,Location,Date,Level,NameTag,Years of Experience,At Company,Total Compensation (SGD),Base,Stock (yr),Bonus
Johnson & Johnson,Singapore, SG, Singapore,01/04/2024,23,Data,5 yrs,3 yrs,140.000 S$,140 mil,N/A,N/A
Tencent,Singapore, SG, Singapore,27/03/2024,T9,ML / AI,7 yrs,0 yrs,132.000 S$,132 mil,N/A,N/A
Data Scientist,Singapore, SG, Singapore,27/03/2024,hidden,hidden,11+ yrs,11+ yrs,360.001 S$,240 mil,N/A,120 mil
Grab,Singapore, SG, Singapore,27/03/2024,G4,Analytics,5 yrs,3 yrs,158.000 S$,108 mil,50 mil,N/A
Mastercard,Singapore, SG, Singapore,23/03/2024,L7,Senior,5 yrs,5 yrs,84.000 S$,84 mil,N/A,N/A
GIC,Singapore, SG, Singapore,22/03/2024,L0,Intern,0 yrs,0 yrs,48.000 S$,48 mil,N/A,N/A
Grab,Singapore, SG, Singapore,22/03/2024,G4,Analytics,6 yrs,2 yrs,134.600,S$99.6 mil,20 mil,15 mil
Temasek,Singapore, SG, Singapore,22/03/2024,L2,-,10 yrs,3 yrs,210.000,S$210 mil,N/A,N/A
Synapxe,Singapore, SG, Singapore,20/03/2024,L4,Data Science,7 yrs,5 yrs,108.000,S$108 mil,N/A,N/A
Silent Eight,Singapore, SG, Singapore,20/03/2024,-,AI,13 yrs,3 yrs,164.800,S$154.8 mil,10 mil,N/A
Micron Technology,Singapore, SG, Singapore,19/03/2024,E2S,MAI,2 yrs,2 yrs,75.000,S$75 mil,N/A,N/A
Grab,Singapore, SG, Singapore,18/03/2024,G4,ACE,4 yrs,4 yrs,154.880,S$107.9 mil,30 mil,17 mil
AlphaGrep Securities,Singapore, SG, Singapore,15/03/2024,L1,Trader,1 yr,1 yr,180.000,S$120 mil,N/A,60 mil
ByteDance,Singapore, SG, Singapore,14/03/2024,2-1,ML,5 yrs,2 yrs,134.350,S$108 mil,7 mil,19.4 mil
